Name,Symbol,Lot_Size,Strike_Price,Tick_Size,Last_Close
TATA MOTORS LIMITED,TATAMOTORS,1425,,,0
TATA POWER CO LTD,TATAPOWER,3375,,,0
TATA STEEL LIMITED,TATASTEEL,4250,,,0
TECH MAHINDRA LIMITED,TECHM,600,,,0
THE INDIA CEMENTS LIMITED,INDIACEM,2900,,,0
THE INDIAN HOTELS CO. LTD,INDHOTEL,4022,,,0
THE RAMCO CEMENTS LIMITED,RAMCOCEM,850,,,0
TITAN COMPANY LIMITED,TITAN,375,,,0
TORRENT PHARMACEUTICALS L,TORNTPHARM,250,,,0
TORRENT POWER LTD,TORNTPOWER,1500,,,0
TRENT LTD,TRENT,725,,,0
TVS MOTOR COMPANY LTD,TVSMOTOR,1400,,,0
ULTRATECH CEMENT LIMITED,ULTRACEMCO,100,,,0
UNITED BREWERIES LTD,UBL,400,,,0
UNITED SPIRITS LIMITED,MCDOWELL-N,625,,,0
UPL LIMITED,UPL,1300,700,10,0
VEDANTA LIMITED,VEDL,1550,,,0
VODAFONE IDEA LIMITED,IDEA,70000,,,0
VOLTAS LTD,VOLTAS,500,,,0
WHIRLPOOL OF INDIA LTD,WHIRLPOOL,350,,,0
WIPRO LTD,WIPRO,1000,,,0
ZEE ENTERTAINMENT ENT LTD,ZEEL,3000,,,0
ZYDUS LIFESCIENCES LTD,ZYDUSLIFE,1800,,,0
